STCNTYBR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4013,-1.9715224534501645,-1.1173184357541899,-0.4519774011299435,-1.5891032917139614,-1.1534025374855825,-1.4002333722287048,-2.366863905325444,-2.666666666666667,-3.3623910336239105,-2.0618556701030926
4015,2.0408163265306123,-10.0,0.0,-4.444444444444445,4.651162790697675,-4.444444444444445,-4.651162790697675,-2.4390243902439024,-2.5,0.0
4017,-5.0,0.0,-5.263157894736842,0.0,-5.555555555555555,-5.88235294117647,0.0,0.0,0.0,0.0
4019,-2.0408163265306123,0.0,0.5208333333333333,-1.0362694300518136,-3.664921465968586,-2.1739130434782608,-4.444444444444445,-4.651162790697675,-1.8292682926829267,0.0
4021,0.0,2.127659574468085,-2.083333333333333,-2.127659574468085,-6.521739130434782,2.3255813953488373,-4.545454545454546,-4.761904761904762,-2.5,-2.564102564102564
4023,0.0,9.090909090909092,0.0,0.0,-8.333333333333332,-9.090909090909092,-10.0,0.0,-11.11111111111111,0.0
4025,0.0,-6.557377049180328,1.7543859649122806,0.0,-3.4482758620689653,-1.7857142857142856,-3.6363636363636362,-3.7735849056603774,1.9607843137254901,-5.769230769230769
4027,0.0,0.0,0.0,-3.225806451612903,0.0,-10.0,-3.7037037037037033,0.0,-7.6923076923076925,0.0
5001,0.0,0.0,-13.333333333333334,0.0,0.0,-7.6923076923076925,0.0,0.0,0.0,0.0
5003,-6.666666666666667,0.0,0.0,0.0,-7.142857142857142,-15.384615384615385,9.090909090909092,0.0,0.0,0.0
5005,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.166666666666666,0.0,-13.043478260869565
5007,-1.9047619047619049,-4.854368932038835,-2.0408163265306123,-1.0416666666666665,-6.315789473684211,1.1235955056179776,2.2222222222222223,0.0,1.0869565217391304,1.0752688172043012
5009,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,-11.11111111111111
5011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
