STCNTYBR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4027,1314360.0,1361902.0,1388557.0,1507068.0,1540755.0,1570687.0,1652398.0,1751886.0,1857046.0,1881349.0,1977155.0
5001,516629.0,536206.0,532611.0,561092.0,610640.0,558984.0,542912.0,537353.0,509818.0,507058.0,515048.0
5003,309202.0,346783.0,303817.0,300715.0,294522.0,311162.0,274114.0,282044.0,281596.0,289043.0,295144.0
5005,965543.0,956543.0,938570.0,932965.0,921525.0,915959.0,916936.0,953812.0,967505.0,1021753.0,1070114.0
5007,3390372.0,3408084.0,4140761.0,4740491.0,4075448.0,4007810.0,4238943.0,4380415.0,5358325.0,5151832.0,5503010.0
5009,769941.0,765964.0,778083.0,778618.0,777734.0,818524.0,867639.0,903419.0,789418.0,777331.0,833379.0
5011,203467.0,208126.0,208827.0,215045.0,209454.0,209984.0,216789.0,218650.0,219318.0,215500.0,219323.0
5013,56769.0,51958.0,45706.0,42343.0,41923.0,43423.0,44116.0,48397.0,50853.0,53870.0,57310.0
5015,517061.0,554756.0,547655.0,543612.0,543495.0,573679.0,574863.0,592697.0,632677.0,674659.0,700678.0
5017,195893.0,198368.0,196141.0,208542.0,212278.0,220530.0,147122.0,207614.0,219220.0,217798.0,230969.0
5019,408683.0,441474.0,443200.0,438096.0,439855.0,475706.0,417903.0,415719.0,429988.0,448661.0,489144.0
5021,257336.0,258980.0,250875.0,261327.0,267749.0,269588.0,267129.0,263754.0,256567.0,272464.0,257694.0
5023,393841.0,412390.0,425989.0,444790.0,451195.0,466511.0,485944.0,513251.0,524244.0,554248.0,556697.0
5025,42624.0,42526.0,44389.0,43003.0,33432.0,40628.0,46089.0,63331.0,73950.0,75335.0,73095.0
5027,616816.0,666537.0,707498.0,724577.0,716368.0,725042.0,723730.0,721522.0,704778.0,740737.0,744384.0
5029,309957.0,323004.0,338346.0,352167.0,348494.0,345096.0,368213.0,387785.0,382665.0,359757.0,364163.0
5031,2013115.0,2185093.0,2239319.0,2386251.0,2443736.0,2151548.0,2190494.0,2312208.0,2637155.0,2686841.0,2793323.0
5033,667198.0,695118.0,698783.0,706650.0,685603.0,690585.0,689756.0,708488.0,719093.0,727530.0,725745.0
5035,521877.0,554403.0,563301.0,612097.0,611900.0,645159.0,682404.0,694131.0,712695.0,724992.0,731050.0
5037,395553.0,396705.0,335451.0,356488.0,356694.0,372319.0,357149.0,354503.0,359233.0,365758.0,361161.0
5039,175319.0,175850.0,177747.0,172697.0,176638.0,174182.0,175758.0,170693.0,167641.0,160898.0,155435.0
5041,232719.0,247414.0,246355.0,248711.0,259493.0,269749.0,277888.0,268563.0,285401.0,293182.0,312243.0
5043,323597.0,323447.0,330297.0,346993.0,381148.0,366443.0,376556.0,395354.0,406881.0,415686.0,412518.0
5045,1462019.0,1582979.0,1641056.0,1648492.0,1596876.0,1744832.0,1785997.0,1855340.0,2052122.0,2192595.0,2228144.0
5047,230429.0,247160.0,261451.0,263341.0,262491.0,265149.0,299835.0,305147.0,306634.0,308758.0,316324.0
5049,170401.0,172228.0,176211.0,176593.0,170770.0,174244.0,185320.0,184864.0,187299.0,197676.0,200721.0
5051,1585180.0,1628895.0,1695896.0,1726630.0,1701169.0,1704284.0,1667652.0,1807073.0,1940449.0,1982336.0,1984080.0
5053,192186.0,199133.0,201572.0,195370.0,188378.0,183520.0,194181.0,206105.0,235400.0,236250.0,227968.0
5055,715660.0,712270.0,747891.0,768932.0,785031.0,772525.0,892909.0,948016.0,1012300.0,1030571.0,1057459.0
5057,397828.0,394156.0,387669.0,369595.0,354070.0,332260.0,326837.0,323423.0,315551.0,310880.0,322941.0
5059,433781.0,433515.0,436347.0,429560.0,436417.0,409425.0,428516.0,436602.0,472562.0,517696.0,524191.0
5061,230556.0,227653.0,245283.0,240833.0,234930.0,239172.0,240668.0,255572.0,265916.0,269508.0,280085.0
5063,779175.0,841501.0,763722.0,788038.0,783895.0,780554.0,815032.0,834260.0,877494.0,919496.0,987741.0
5065,182490.0,183517.0,184178.0,180604.0,182269.0,186813.0,189505.0,179368.0,189070.0,193847.0,198994.0
5067,231489.0,236102.0,234986.0,242699.0,253903.0,261235.0,253455.0,239200.0,235192.0,234376.0,249158.0
5069,969817.0,1094758.0,1142063.0,1162387.0,1125794.0,1075904.0,1230486.0,1363871.0,1778798.0,3256762.0,2982647.0
5071,311255.0,321318.0,320300.0,323716.0,319028.0,310363.0,310066.0,318056.0,339718.0,339643.0,330557.0
5073,127347.0,127788.0,137024.0,141034.0,134650.0,128054.0,123887.0,127076.0,125099.0,130792.0,144396.0
5075,271567.0,253267.0,267403.0,251052.0,247856.0,254174.0,251392.0,249073.0,243754.0,244492.0,264582.0
5077,86433.0,84911.0,86999.0,91733.0,101364.0,101882.0,105762.0,99376.0,98940.0,98851.0,98888.0
5079,90654.0,98937.0,103633.0,103455.0,101026.0,97186.0,101694.0,99871.0,103568.0,105252.0,120314.0
5081,121616.0,109430.0,104937.0,99320.0,95900.0,94136.0,98585.0,107039.0,105002.0,112169.0,103667.0
5083,351088.0,332531.0,332396.0,329247.0,323937.0,329982.0,344650.0,349600.0,337203.0,330886.0,335992.0
5085,792597.0,772935.0,725170.0,767703.0,744199.0,782422.0,826163.0,893021.0,981381.0,1004114.0,1038475.0
5087,178981.0,188729.0,186673.0,188009.0,191352.0,209830.0,209901.0,228067.0,232160.0,235863.0,247867.0
5089,238878.0,236668.0,234090.0,230876.0,237120.0,234395.0,236077.0,259672.0,208203.0,244302.0,263830.0
5091,484380.0,891671.0,866705.0,871651.0,894784.0,918031.0,936007.0,961841.0,961070.0,893684.0,832287.0
5093,534490.0,566148.0,576521.0,584263.0,558760.0,552552.0,531691.0,544386.0,536934.0,549383.0,556893.0
5095,171515.0,167607.0,167809.0,178126.0,184164.0,191720.0,189479.0,183627.0,182142.0,187217.0,186034.0
5097,82250.0,89300.0,87544.0,88264.0,87897.0,87134.0,93378.0,97322.0,100780.0,105310.0,112944.0
5099,84212.0,89111.0,87514.0,86348.0,94537.0,96632.0,101134.0,103533.0,108725.0,103328.0,106792.0
5101,68852.0,70567.0,68469.0,69716.0,68666.0,68073.0,71744.0,71209.0,80090.0,80897.0,85131.0
5103,340300.0,368495.0,379667.0,387154.0,387740.0,405507.0,401644.0,411294.0,437600.0,442296.0,443493.0
5105,78806.0,76581.0,85521.0,85317.0,75827.0,74230.0,73929.0,72391.0,71596.0,72986.0,65345.0
5107,298751.0,306863.0,315161.0,315845.0,365508.0,355738.0,347685.0,319828.0,324874.0,332948.0,324813.0
5109,237950.0,249018.0,214790.0,212520.0,207077.0,204482.0,221161.0,225123.0,274620.0,247353.0,244592.0
5111,317824.0,325113.0,329469.0,345069.0,345829.0,340718.0,337077.0,330286.0,335569.0,327261.0,311430.0
